"","province","district","variable","value"
"27","Kâmpóng Cham","Chamkar Leu","NL_VIIRS.M_201204_SUM",317.020000416785
"28","Svay Rieng","Chantrea","NL_VIIRS.M_201204_SUM",199.109999241307
"29","Kâmpóng Spœ","Chbar Mon","NL_VIIRS.M_201204_SUM",65.6000005919487
"30","Kâmpóng Cham","Cheung Prey","NL_VIIRS.M_201204_SUM",238.720000874251
"31","Preah Vihéar","Chey Saen","NL_VIIRS.M_201204_SUM",390.04000052996
"32","Preah Vihéar","Chhaeb","NL_VIIRS.M_201204_SUM",1489.18000284396
"33","Krâchéh","Chhloung","NL_VIIRS.M_201204_SUM",50.1799999251962
"34","Kâmpôt","Chhuk","NL_VIIRS.M_201204_SUM",133.64999965392
"35","Siemréab","Chi Kraeng","NL_VIIRS.M_201204_SUM",556.529999515041
"36","Preah Vihéar","Choam Khsant","NL_VIIRS.M_201204_SUM",1882.00000165217
"37","Kâmpóng Chhnang","Chol Kiri","NL_VIIRS.M_201204_SUM",149.110000358894
"38","Otdar Mean Chey","Chong Kal","NL_VIIRS.M_201204_SUM",529.729999894277
"39","Kâmpôt","Chum Kiri","NL_VIIRS.M_201204_SUM",213.029999397695
"40","Tbong Khmum","Dambae","NL_VIIRS.M_201204_SUM",102.919999729842
